,date,state,positive,negative,pending,hospitalizedcurrently,recovered,death,deathconfirmed,deathprobable,total
0,7/29/20,AK,3442,220222,,45,854,22,22,,223664
1,7/29/20,AL,83782,584493,,1598,32510,1538,1489,49,668275
2,7/29/20,AR,40968,454637,,508,33938,434,,,495605
3,7/29/20,AS,0,1037,,,,0,,,1037
4,7/29/20,AZ,168273,733156,,2424,21994,3454,2431,152,901429
5,7/29/20,CA,475305,7042161,,8439,,8715,,,7517466
6,7/29/20,CO,45314,466863,,353,5243,1679,,,512177
7,7/29/20,CT,49540,716236,,53,8516,4425,3544,881,765776
8,7/29/20,DC,11999,168050,,83,9723,584,,,180049
9,7/29/20,DE,14602,162414,,68,8108,581,511,70,177016
10,7/29/20,FL,451423,3075342,3220,8720,,6457,6457,,3529985
11,7/29/20,GA,178323,1334141,,3188,,3642,,,1512464
12,7/29/20,GU,351,20978,,4,297,5,,,21329
13,7/29/20,HI,1757,115802,,47,1205,26,,,117559
14,7/29/20,IA,43277,419435,,246,31246,846,,,462712
15,7/29/20,ID,19222,153820,,209,6203,160,139,21,173042
16,7/29/20,IL,176366,2433528,,1491,,7654,7462,192,2609894
17,7/29/20,IN,64299,659939,,837,45058,2932,2733,199,724238
18,7/29/20,KS,26870,258079,,393,1149,349,,,284949
19,7/29/20,KY,28727,539614,,571,7495,724,720,4,568341
20,7/29/20,LA,112773,1182358,,1544,74246,3883,3769,114,1295131
21,7/29/20,MA,116182,1024934,,364,96452,8551,8331,220,1141116
22,7/29/20,MD,86285,792674,,571,5592,3478,3347,131,878959
23,7/29/20,ME,3866,158211,,11,3336,121,120,1,162077
24,7/29/20,MI,88974,1704259,,670,57502,6422,6172,250,1793233
25,7/29/20,MN,52947,940144,,310,46636,1629,1589,40,993091
26,7/29/20,MO,43772,617127,,797,,1220,,,660899
27,7/29/20,MP,40,11719,,,29,2,2,,11759
28,7/29/20,MS,55804,387500,,1211,35071,1563,1524,39,443304
29,7/29/20,MT,3676,161679,,59,2212,54,,,165355
30,7/29/20,NC,117850,1573584,,1291,92302,1865,1865,,1691434
31,7/29/20,ND,6227,144856,,39,5087,92,88,4,151083
32,7/29/20,NE,25157,238876,,122,18702,321,,,264033
33,7/29/20,NH,6500,149583,,21,5688,409,,,156083
34,7/29/20,NJ,180766,1861916,,761,32365,15798,13923,1875,2042682
35,7/29/20,NM,19791,517062,,160,7657,626,,,536853
36,7/29/20,NV,45806,411579,,1110,1061,780,,,457385
37,7/29/20,NY,413593,5333229,,619,72900,25132,,,5746822
38,7/29/20,OH,87893,1332944,,1100,62695,3422,3156,266,1420837
39,7/29/20,OK,34623,571890,,663,27386,523,,,606513
40,7/29/20,OR,17721,376434,,235,3736,311,,,394155
41,7/29/20,PA,110218,1073863,,756,82663,7162,,,1184081
42,7/29/20,PR,16061,305972,,495,,211,106,105,322033
43,7/29/20,RI,18800,183665,,74,1810,1007,,,202465
44,7/29/20,SC,85846,595144,,1596,32859,1615,1551,64,680990
45,7/29/20,SD,8641,101073,,46,7609,129,,,109714
46,7/29/20,TN,100822,1355417,,1417,62129,1020,983,37,1456239
47,7/29/20,TX,403307,3136061,,9595,251346,6190,,,3539368
48,7/29/20,UT,39194,478997,,232,26643,292,,,518191
49,7/29/20,VA,87993,988763,484,1350,11650,2125,2020,105,1077240
50,7/29/20,VI,385,8419,29,,296,8,8,,8833
51,7/29/20,VT,1406,91055,,18,1199,56,56,,92461
52,7/29/20,WA,54205,891029,,407,,1548,1548,,945234
53,7/29/20,WI,54988,851391,107,271,40416,918,911,7,906486
54,7/29/20,WV,6326,267801,,98,4589,112,,,274127
55,7/29/20,WY,2628,49384,,16,2022,26,,,52012
56,7/28/20,AK,3350,210525,,44,836,22,22,,213875
57,7/28/20,AL,82366,583033,,1598,32510,1491,1446,45,665399
58,7/28/20,AR,40181,449725,,501,33188,428,,,489906
59,7/28/20,AS,0,1037,,,,0,,,1037
60,7/28/20,AZ,165934,724997,,2564,21626,3408,2431,152,890931
61,7/28/20,CA,466550,6951316,,8317,,8518,,,7417866
62,7/28/20,CO,44565,455865,,359,5212,1668,,,500430
63,7/28/20,CT,49077,703611,,54,8516,4423,3541,882,752688
64,7/28/20,DC,11945,166077,,106,9664,583,,,178022
65,7/28/20,DE,14476,160147,,62,8076,580,510,70,174623
66,7/28/20,FL,441977,3038322,3017,8992,,6240,6240,,3483316
67,7/28/20,GA,175052,1312274,,3157,,3563,,,1487326
68,7/28/20,GU,349,20443,,5,291,5,,,20792
69,7/28/20,HI,1711,112432,,39,1191,26,,,114143
70,7/28/20,IA,42777,414658,,253,30623,839,,,457435
71,7/28/20,ID,18694,152023,,209,5964,152,130,22,170717
72,7/28/20,IL,174973,2396734,,1383,,7638,7446,192,2571707
73,7/28/20,IN,63678,653131,,907,44548,2924,2725,199,716809
74,7/28/20,KS,26172,252764,,212,1108,335,,,278936
75,7/28/20,KY,28126,529587,,584,7470,719,715,4,557713
76,7/28/20,LA,111038,1165266,,1583,61456,3812,3700,112,1276304
77,7/28/20,MA,116182,1024934,,364,96452,8551,8331,220,1141116
78,7/28/20,MD,85524,782732,,544,5592,3458,3327,131,868256
79,7/28/20,ME,3838,155262,,12,3319,121,120,1,159100
80,7/28/20,MI,87958,1639924,,670,57502,6421,6170,251,1727882
81,7/28/20,MN,52281,927707,,294,45987,1620,1580,40,979988
82,7/28/20,MO,42101,610823,,797,,1213,,,652924
83,7/28/20,MP,40,11719,,,29,2,2,,11759
84,7/28/20,MS,54299,378834,,1184,35071,1543,1504,39,433133
85,7/28/20,MT,3475,157933,,62,2104,51,,,161408
86,7/28/20,NC,116087,1547453,,1244,92302,1820,1820,,1663540
87,7/28/20,ND,6141,143905,,35,4957,92,88,4,150046
88,7/28/20,NE,24899,236204,,117,18520,317,,,261103
89,7/28/20,NH,6500,149583,,21,5688,409,,,156083
90,7/28/20,NJ,180295,1804009,,718,32313,15825,13905,1920,1984304
91,7/28/20,NM,19502,509388,,159,7459,619,,,528890
92,7/28/20,NV,44936,405950,,1147,1054,759,,,450886
93,7/28/20,NY,412878,5271668,,648,72813,25126,,,5684546
94,7/28/20,OH,86497,1312236,,1144,61056,3382,3118,264,1398733
95,7/28/20,OK,33775,555351,,596,26363,509,,,589126
96,7/28/20,OR,17416,370240,,230,3736,303,,,387656
97,7/28/20,PA,109384,1059776,,716,82038,7146,,,1169160
98,7/28/20,PR,15840,305972,,469,,209,104,105,321812
99,7/28/20,RI,18725,182235,,68,1803,1005,,,200960
100,7/28/20,SC,84109,586221,,1575,32859,1565,1505,60,670330
101,7/28/20,SD,8492,98999,,49,7474,123,,,107491
102,7/28/20,TN,96489,1314963,,1420,57239,978,943,35,1411452
103,7/28/20,TX,394265,3082661,,9593,244449,5877,,,3476926
104,7/28/20,UT,38855,475654,,233,25905,286,,,514509
105,7/28/20,VA,86994,972416,436,1294,11550,2095,1991,104,1059846
106,7/28/20,VI,375,8295,37,,292,7,7,,8707
107,7/28/20,VT,1405,90456,,18,1194,56,56,,91861
108,7/28/20,WA,53321,879983,,386,,1518,1518,,933304
109,7/28/20,WI,54064,837567,110,246,39513,913,906,7,891741
110,7/28/20,WV,6173,263671,,94,4481,111,,,269844
111,7/28/20,WY,2589,48191,,15,1970,26,,,50780
112,7/27/20,AK,3206,204162,,38,817,21,21,,207368
113,7/27/20,AL,81115,576844,,1599,32510,1491,1446,45,657959
114,7/27/20,AR,39447,445444,,489,32365,408,,,484891
115,7/27/20,AS,0,1037,,,,0,,,1037
116,7/27/20,AZ,163827,714506,,2626,21321,3304,2431,152,878333
117,7/27/20,CA,460550,6836028,,8820,,8445,,,7296578
118,7/27/20,CO,44336,453452,,365,5182,1661,,,497788
119,7/27/20,CT,48983,696068,,59,8516,4418,3536,882,745051
120,7/27/20,DC,11858,162290,,102,9639,582,,,174148
121,7/27/20,DE,14406,158653,,63,8035,579,509,70,173059
122,7/27/20,FL,432747,2998750,2902,9098,,6049,6049,,3434399
123,7/27/20,GA,170843,1282120,,3181,,3509,,,1452963
124,7/27/20,GU,346,20135,,4,291,5,,,20481
125,7/27/20,HI,1683,112432,,26,1179,26,,,114115
126,7/27/20,IA,42554,412291,,241,29873,833,,,454845
127,7/27/20,ID,18177,149817,,204,5731,146,125,21,167994
128,7/27/20,IL,173897,2369479,,1417,,7608,7416,192,2543376
129,7/27/20,IN,62907,644884,,835,44124,2906,2709,197,707791
130,7/27/20,KS,26172,252764,,212,1108,335,,,278936
131,7/27/20,KY,27601,519849,,609,7466,709,705,4,547450
132,7/27/20,LA,109917,1150105,,1600,61456,3786,3674,112,1260022
133,7/27/20,MA,115926,1015231,,350,96452,8536,8317,219,1131157
134,7/27/20,MD,84876,770642,,536,5434,3447,3315,132,855518
135,7/27/20,ME,3832,153609,,13,3292,119,118,1,157441
136,7/27/20,MI,87173,1613316,,670,57502,6405,6154,251,1700489
137,7/27/20,MN,51803,918923,,257,45198,1616,1576,40,970726
138,7/27/20,MO,43050,598854,,1057,,1201,,,641904
139,7/27/20,MP,40,11719,,,29,2,2,,11759
140,7/27/20,MS,52957,374640,,1179,35071,1501,1464,37,427597
141,7/27/20,MT,3381,155274,,61,2090,47,,,158655
142,7/27/20,NC,114338,1521138,,1169,92302,1790,1790,,1635476
143,7/27/20,ND,5986,142380,,43,4829,91,87,4,148366
144,7/27/20,NE,24618,234209,,109,18097,316,,,258827
145,7/27/20,NH,6436,147173,,20,5438,409,,,153609
146,7/27/20,NJ,179812,1804029,,695,32275,15804,13884,1920,1983841
147,7/27/20,NM,19042,501676,,144,7349,614,,,520718
148,7/27/20,NV,43831,400848,,1112,1019,739,,,444679
149,7/27/20,NY,412344,5214805,,642,72766,25117,,,5627149
150,7/27/20,OH,85177,1258921,,1110,59413,3344,3082,262,1344098
151,7/27/20,OK,32686,535628,,625,25252,496,,,568314
152,7/27/20,OR,17088,365478,,237,3684,289,,,382566
153,7/27/20,PA,108264,1042424,,704,81198,7122,,,1150688
154,7/27/20,PR,15431,305972,,509,,201,99,102,321403
155,7/27/20,RI,18515,178103,,71,1792,1004,,,196618
156,7/27/20,SC,82417,576484,,1668,29378,1506,1452,54,658901
157,7/27/20,SD,8444,98383,,47,7404,123,,,106827
158,7/27/20,TN,96489,1314963,,1328,57239,978,943,35,1411452
159,7/27/20,TX,385923,3042959,,10893,229107,5713,,,3428882
160,7/27/20,UT,38409,471449,,225,25321,281,,,509858
161,7/27/20,VA,86072,953139,379,1200,10940,2082,1978,104,1039590
162,7/27/20,VI,364,8033,13,,250,7,7,,8410
163,7/27/20,VT,1402,89215,,13,1190,56,56,,90617
164,7/27/20,WA,52635,866712,,396,,1501,1501,,919347
165,7/27/20,WI,53281,823905,104,250,38633,900,893,7,877290
166,7/27/20,WV,6054,259979,,85,4332,106,,,266033
167,7/27/20,WY,2520,45823,,17,1915,25,,,48343
168,7/26/20,AK,3102,204162,,43,817,20,20,,207264
169,7/26/20,AL,79294,570392,,1505,32510,1473,1428,45,649686
170,7/26/20,AR,38623,438644,,479,31622,401,,,477267
171,7/26/20,AS,0,1037,,,,0,,,1037
172,7/26/20,AZ,162014,705089,,2650,20978,3305,2431,152,867103
173,7/26/20,CA,453659,6714480,,8820,,8416,,,7168139
174,7/26/20,CO,43789,446607,,338,5158,1661,,,490396
175,7/26/20,CT,48776,664296,,71,8516,4413,3531,882,713072
176,7/26/20,DC,11780,159818,,85,9607,581,,,171598
177,7/26/20,DE,14290,155703,,57,7996,579,509,70,169993
178,7/26/20,FL,423855,2962648,2871,8951,,5972,5972,,3389374
179,7/26/20,GA,167953,1260992,,3079,,3498,,,1428945
180,7/26/20,GU,337,19695,,1,244,5,,,20032
181,7/26/20,HI,1620,112432,,29,1167,26,,,114052
182,7/26/20,IA,42200,408399,,226,29625,827,,,450599
183,7/26/20,ID,17827,148397,,204,5483,146,125,21,166224
